Marca temporal,"¿Practicas regularmente algún tipo de ejercicio de concentración (meditación, yoga, mindfulness, etc.)?",Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [Cuando estudio me concentro fácilmente],Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [Escucho música mientras estudio],Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [La música me ayuda a concentrar],Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [Cambio de música según la actividad que realizo],Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [Considero que el tipo de música es adecuado para la actividad que realizo],"Si escuchas música mientras estudias, qué géneros prefieres (puedes seleccionar más de uno). Si no escuchas, marca ""ninguno"" al final:",¿Cuáles son tus géneros de música favoritos?,¿Tiene letra?,¿Qué tan energética es?,¿Qué tan predecible es? (repetitiva o estable),¿Cómo es su ritmo?,¿A qué volumen la escuchas?
03/06/2021 16:42,No,Casi siempre,A veces,A veces,Casi nunca,Siempre,"Clásica, Pop, Rock",Rock,4,3,3,3,3
03/06/2021 16:49,No,Siempre,Siempre,Siempre,Siempre,Siempre,"Clásica, Electrónica, Pop, Soul","Clásica, Electrónica, Pop, Rock",3,2,1,3,4
03/06/2021 16:50,No,A veces,A veces,Casi nunca,Siempre,Casi siempre,De ambientación,"Pop, Rap, Rock",2,3,4,3,3
03/06/2021 16:50,No,A veces,Casi siempre,Casi siempre,Casi nunca,A veces,"Clásica, Electrónica, Pop","Clásica, Electrónica, Pop",4,4,3,4,3
03/06/2021 16:51,No,Casi siempre,A veces,A veces,Casi nunca,A veces,"Clásica, Cumbia, Pop, Rock, Salsa","Cumbia, Pop, Rock, Salsa",5,4,5,5,2
03/06/2021 16:51,No,Casi siempre,Siempre,Siempre,Siempre,Siempre,"Electrónica, K-pop, Pop, Rock","K-pop, Rock",3,3,2,3,4
03/06/2021 16:51,No,A veces,A veces,Casi siempre,Siempre,Siempre,Soul,"Rap, Rock, Soul",5,4,2,4,3
03/06/2021 16:58,No,A veces,Casi nunca,A veces,Siempre,Siempre,"Clásica, Pop, Rock","Clásica, Electrónica, Pop, Rap, Rock",3,4,3,4,3
03/06/2021 16:58,No,A veces,Siempre,Siempre,Casi siempre,Siempre,"Cumbia, Electrónica, Jazz, K-pop, Pop, Norteña, Ranchera, Rap, Reguetón, Rock, Salsa, Soul","Pop, Rap, Rock, Soul",4,4,4,4,5
03/06/2021 17:02,No,A veces,Casi siempre,Siempre,Siempre,Siempre,"Clásica, Soul, Instrumental","Electrónica, Pop",1,2,5,2,2
03/06/2021 17:03,No,A veces,A veces,Casi siempre,Casi nunca,Casi siempre,"Pop, Rock, Bandas Sonoras","Pop, Rock",4,4,4,3,2
03/06/2021 17:08,No,Casi siempre,Casi siempre,Casi siempre,A veces,Casi siempre,"Pop, Rock, J-pop",Rock,4,4,3,3,2
